序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,母线名,STRING,10
2,ACBus_kV,基准电压,DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,FCA_VAMax,调节器最大内部电压(pu),DOUBLE,4
5,FCA_VAMin,调节器最小内部电压(pu),DOUBLE,4
6,FCA_KB,第二级调节器增益,DOUBLE,4
7,FCA_T5,第二级调节器时间常数,DOUBLE,4
8,FCA_KE,励磁机自励磁系数(pu),DOUBLE,4
9,FCA_TE,励磁机时间常数(秒),DOUBLE,4
10,FCA_SE1,最大励磁电压处的励磁机饱和系数,DOUBLE,4
11,FCA_SE2,"SE2,75％最大励磁电压处的励磁机饱和系数",DOUBLE,4
12,FCA_VRMax,电压调节器最大输出(pu),DOUBLE,4
13,FCA_VRMin,电压调节器最小输出(pu),DOUBLE,4
14,FCA_KC,换相电抗的整流器负载因子,DOUBLE,4
15,FCA_KD,去磁因子(pu),DOUBLE,4
16,FCA_KL1,励磁机励磁电流限制增益(pu),DOUBLE,4
17,FCA_VL1R,励磁机电流限制(pu),DOUBLE,4
18,FCA_EFDMax,最大励磁电压(pu),DOUBLE,4
19,KeyName,数据库主键,STRING,16
20,BusPtr,发电机母线索引,INTEGER,4
21,AppendTag,新增记录标记,INTEGER,1
