序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,VoltageLevel,电压等级,STRING,16
2,Name,名称,STRING,64
3,SubstationEntity,所属容器(厂站、开闭所等),STRING,64
4,ConnectivityNode,节点,STRING,64
5,RatedMva,容量(MVA),DOUBLE,4
6,P,输出有功(MW),DOUBLE,4
7,Q,输出无功(MVar),DOUBLE,4
8,cutin_windspeed,切入风速(m/s),DOUBLE,4
9,cutout_windspeed,切出风速(m/s),DOUBLE,4
10,rate_windspeed,额定风速(m/s),DOUBLE,4
11,rate_power,额定功率(m/s),DOUBLE,4
12,mean_windspeed,平均风速(m/s),DOUBLE,4
13,stddev_windspeed,风速标准差(m/s),DOUBLE,4
14,state_num,状态数,INTEGER,1
15,vd_RScc1,单相接地频率(次/年),DOUBLE,4
16,vd_RScc2,相间短路频率(次/年),DOUBLE,4
17,vd_RScc3,三相短路频率(次/年),DOUBLE,4
18,vd_RScc4,两相接地频率(次/年),DOUBLE,4
19,ri_Rerr,故障率(次/台.年),DOUBLE,4
20,ri_Trep,修复时间(小时/次),DOUBLE,4
21,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
22,ri_Tchk,检修时间(小时/次),DOUBLE,4
23,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
24,ei_Invest,投资费用(万元),DOUBLE,4
25,v,电压,DOUBLE,4
26,d,功角,DOUBLE,4
27,scc,短路电流(A),DOUBLE,4
28,sa_Result,N-1通过情况,INTEGER,1
29,sa_Island,N-1形成孤岛,INTEGER,1
30,sa_Failure,N-1负荷损失(MVA),DOUBLE,4
31,sa_Outages,N-1设备负荷损失(MW),DOUBLE,4
32,output_power1,输出功率1,DOUBLE,4
33,output_power2,输出功率2,DOUBLE,4
34,output_power3,输出功率3,DOUBLE,4
35,output_power4,输出功率4,DOUBLE,4
36,output_power5,输出功率5,DOUBLE,4
37,output_power6,输出功率6,DOUBLE,4
38,output_power7,输出功率7,DOUBLE,4
39,output_power8,输出功率8,DOUBLE,4
40,output_power9,输出功率9,DOUBLE,4
41,output_power10,输出功率10,DOUBLE,4
42,output_power11,输出功率11,DOUBLE,4
43,output_power12,输出功率12,DOUBLE,4
44,state_prob1,状态概率1,DOUBLE,4
45,state_prob2,状态概率2,DOUBLE,4
46,state_prob3,状态概率3,DOUBLE,4
47,state_prob4,状态概率4,DOUBLE,4
48,state_prob5,状态概率5,DOUBLE,4
49,state_prob6,状态概率6,DOUBLE,4
50,state_prob7,状态概率7,DOUBLE,4
51,state_prob8,状态概率8,DOUBLE,4
52,state_prob9,状态概率9,DOUBLE,4
53,state_prob10,状态概率10,DOUBLE,4
54,state_prob11,状态概率11,DOUBLE,4
55,state_prob12,状态概率12,DOUBLE,4
56,Island,电岛,INTEGER,2
57,Status,状态,INTEGER,1
