序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,Substation,厂站,STRING,64
2,VoltageLevel,电压等级,STRING,16
3,Name,名称,STRING,64
4,ConnectivityNode,节点,STRING,64
5,RatedMva,容量(兆伏安),DOUBLE,4
6,PlanP,计划有功(兆瓦),DOUBLE,4
7,PlanQ,计划无功(兆乏),DOUBLE,4
8,S,光照面积,DOUBLE,4
9,Kc,光强阈值,DOUBLE,4
10,Tr,最大能量转换率ηc,DOUBLE,4
11,Imax1,1月正午光照强度,DOUBLE,4
12,Imax2,2月正午光照强度,DOUBLE,4
13,Imax3,3月正午光照强度,DOUBLE,4
14,Imax4,4月正午光照强度,DOUBLE,4
15,Imax5,5月正午光照强度,DOUBLE,4
16,Imax6,6月正午光照强度,DOUBLE,4
17,Imax7,7月正午光照强度,DOUBLE,4
18,Imax8,8月正午光照强度,DOUBLE,4
19,Imax9,9月正午光照强度,DOUBLE,4
20,Imax10,10月正午光照强度,DOUBLE,4
21,Imax11,11月正午光照强度,DOUBLE,4
22,Imax12,12月正午光照强度,DOUBLE,4
23,state_num,状态数,INTEGER,1
24,vd_RScc1,单相接地频率(次/年),DOUBLE,4
25,vd_RScc2,相间短路频率(次/年),DOUBLE,4
26,vd_RScc3,三相短路频率(次/年),DOUBLE,4
27,vd_RScc4,两相接地频率(次/年),DOUBLE,4
28,ri_Rerr,故障率(次/台.年),DOUBLE,4
29,ri_Trep,修复时间(小时/次),DOUBLE,4
30,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
31,ri_Tchk,检修时间(小时/次),DOUBLE,4
32,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
33,ei_Invest,投资费用(万元),DOUBLE,4
34,TDCurve,光伏典型出力曲线,STRING,32
35,P,有功(兆瓦),DOUBLE,4
36,Q,无功(兆乏),DOUBLE,4
37,A,电流(安培),DOUBLE,4
38,V,电压(千伏),DOUBLE,4
39,D,功角(度),DOUBLE,4
40,Scc,短路电流(安培),DOUBLE,4
41,sa_Result,N-1通过情况,INTEGER,1
42,sa_Island,N-1形成孤岛,INTEGER,1
43,sa_Failure,N-1负荷损失(兆伏安),DOUBLE,4
44,sa_Outages,N-1设备负荷损失(兆瓦),DOUBLE,4
45,output_power1,输出功率1,DOUBLE,4
46,output_power2,输出功率2,DOUBLE,4
47,output_power3,输出功率3,DOUBLE,4
48,output_power4,输出功率4,DOUBLE,4
49,output_power5,输出功率5,DOUBLE,4
50,output_power6,输出功率6,DOUBLE,4
51,output_power7,输出功率7,DOUBLE,4
52,output_power8,输出功率8,DOUBLE,4
53,output_power9,输出功率9,DOUBLE,4
54,output_power10,输出功率10,DOUBLE,4
55,output_power11,输出功率11,DOUBLE,4
56,output_power12,输出功率12,DOUBLE,4
57,state_prob1,状态概率1,DOUBLE,4
58,state_prob2,状态概率2,DOUBLE,4
59,state_prob3,状态概率3,DOUBLE,4
60,state_prob4,状态概率4,DOUBLE,4
61,state_prob5,状态概率5,DOUBLE,4
62,state_prob6,状态概率6,DOUBLE,4
63,state_prob7,状态概率7,DOUBLE,4
64,state_prob8,状态概率8,DOUBLE,4
65,state_prob9,状态概率9,DOUBLE,4
66,state_prob10,状态概率10,DOUBLE,4
67,state_prob11,状态概率11,DOUBLE,4
68,state_prob12,状态概率12,DOUBLE,4
69,NodePtr,节点索引,INTEGER,4
70,TopoBus,拓扑节点,INTEGER,4
71,Island,电岛,INTEGER,2
72,Outage,状态,INTEGER,1
