序号,名称,描述,类型,长度
0,ResourceID,资源ID,STRING,64
1,Substation,厂站名称(虚拟),STRING,64
2,VoltageLevel,电压等级,STRING,16
3,Name,名称,STRING,64
4,ConnectivityNode,节点,STRING,64
5,Type,设备类型,INTEGER,1
6,Model,型号,STRING,64
7,LoadP,负荷(兆瓦),DOUBLE,4
8,LoadFactor,负荷功率因数,DOUBLE,4
9,ShuntCap,无功补偿(兆乏),DOUBLE,4
10,HeatingLoad,热负荷功率(兆瓦),DOUBLE,4
11,RefrigerationLoad,冷负荷功率(兆瓦),DOUBLE,4
12,ri_Rerr,故障率(次/台.年),DOUBLE,4
13,ri_Trep,修复时间(时间/次),DOUBLE,4
14,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
15,ri_Tchk,检修时间(时间/次),DOUBLE,4
16,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
17,ri_Customer,用户数,DOUBLE,4
18,ri_Load_Rerr,配出负荷故障率(次/台.年),DOUBLE,4
19,ri_Load_Trep,配出负荷修复时间(时间/次),DOUBLE,4
20,ri_Load_Rchk,配出负荷计划检修率(次/台.年),DOUBLE,4
21,ri_Load_Tchk,配出负荷检修时间(时间/次),DOUBLE,4
22,ei_Invest,投资费用(万元),DOUBLE,4
23,ei_ConstLoss,每次固定停电损失(万元/次),DOUBLE,4
24,ei_EvalRatio,单位电能停电损失,DOUBLE,4
25,vd_RScc1,单相接地频率(次/年),DOUBLE,4
26,vd_RScc2,相间短路频率(次/年),DOUBLE,4
27,vd_RScc3,三相短路频率(次/年),DOUBLE,4
28,vd_RScc4,两相接地频率(次/年),DOUBLE,4
29,Island,电岛,INTEGER,2
30,NodePtr,节点索引,INTEGER,4
31,V,电压(千伏),DOUBLE,4
32,D,功角(度),DOUBLE,4
33,Scc,短路电流(安培),DOUBLE,4
34,sa_Result,N-1通过情况,INTEGER,1
35,sa_Island,N-1形成孤岛,INTEGER,1
36,sa_Failure,N-1负荷损失(兆伏安),DOUBLE,4
37,sa_Outages,N-1设备负荷损失(兆瓦),DOUBLE,4
38,eo_loss,停电综合损失(万元),DOUBLE,4
39,OutLineNum,出线规模(回),INTEGER,1
40,InuseOutline,已出线间隔,INTEGER,1
