序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNodeI,起节点,STRING,64
7,ConnectivityNodeJ,终节点,STRING,64
8,r,电阻(PU),DOUBLE,4
9,x,电抗(PU),DOUBLE,4
10,x0,零序电抗(PU),DOUBLE,4
11,Rate,额定电流(A),DOUBLE,4
12,ri_Rerr,故障率(次/年),DOUBLE,4
13,ri_Trep,修复时间(小时/次),DOUBLE,4
14,ri_Rchk,计划检修率(次/年),DOUBLE,4
15,ri_Tchk,检修时间(小时/次),DOUBLE,4
16,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
17,ei_Invest,投资费用(万元),DOUBLE,4
18,Pi,I侧有功(MW),DOUBLE,4
19,Qi,I侧无功(MVar),DOUBLE,4
20,Pz,Z侧有功(MW),DOUBLE,4
21,Qz,Z侧无功(MVar),DOUBLE,4
22,A,电流(A),DOUBLE,4
23,LossQ,损耗无功(MVar),DOUBLE,4
24,ScIa,A相短路电流(A),DOUBLE,4
25,ScIb,B相短路电流(A),DOUBLE,4
26,ScIc,C相短路电流(A),DOUBLE,4
27,ScI1,正序短路电流(A),DOUBLE,4
28,ScI2,负序短路电流(A),DOUBLE,4
29,ScI0,零序短路电流(A),DOUBLE,4
30,NodeIPtr,起节点索引,INTEGER,4
31,NodeJPtr,终节点索引,INTEGER,4
32,TopoBusI,起拓扑节点,INTEGER,4
33,TopoBusJ,终拓扑节点,INTEGER,4
34,Island,岛,INTEGER,2
35,EdgeI,起边设备索引,INTEGER,2
36,EdgeJ,终边设备索引,INTEGER,2
37,Distribution,配网设备,INTEGER,1
38,State,综合状态(着色),INTEGER,1
39,Open,拓扑状态,INTEGER,1
40,Outage,设备状态,INTEGER,1
