序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,ACBusR,整流交流节点名称,STRING,32
2,ACBusI,逆变交流节点名称,STRING,32
3,kVR,整流侧电压(kV),DOUBLE,4
4,kVI,逆变侧电压(kV),DOUBLE,4
5,R,电阻(欧姆),DOUBLE,4
6,L,电感(毫亨),DOUBLE,4
7,C,电容(微法),DOUBLE,4
8,Con,控制测R/I,INTEGER,1
9,RatedC,额定电流(A),DOUBLE,4
10,RectV,整流侧直流电压(kV),DOUBLE,4
11,RatedP,额定功率(MW),DOUBLE,4
12,Power,安排的直流功率(MW),DOUBLE,4
13,PwrR,整流侧功率(MW),DOUBLE,4
14,PwrI,逆变侧功率(MW),DOUBLE,4
15,LossP,损耗(MW),DOUBLE,4
16,Rerr,故障率(次/年),DOUBLE,8
17,Rrep,修复率(次/年),DOUBLE,8
18,Trep,修复时间(小时/次),DOUBLE,8
19,GoodProb,完好概率,DOUBLE,8
20,FailProb,故障概率,DOUBLE,8
21,IRt,实际值,DOUBLE,8
22,IMax,下限值,DOUBLE,8
23,IMin,上限值,DOUBLE,8
24,RerrMax,故障率上限值,DOUBLE,8
25,RerrMin,故障率下限值,DOUBLE,8
26,FaultFreq,故障次数(次),INTEGER,4
27,MSModel,多状态模型,INTEGER,1
28,MStateNum,多状态状态数,INTEGER,1
29,MSPout,多状态功率状态,DOUBLE,8
30,IniBusR,Ini整流节点名称,STRING,32
31,IniBusI,Ini逆变节点名称,STRING,32
32,IniPwrR,Ini整流侧功率(MW),DOUBLE,4
33,IniPwrI,Ini逆变侧功率(MW),DOUBLE,4
34,ACBusRPtr,整流节点索引,INTEGER,4
35,ACBusIPtr,逆变节点索引,INTEGER,4
36,SerialNo,直流索引,INTEGER,4
37,Outage,停运,INTEGER,1
